complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Classified based on presence of the word 'flood' in description.,
GH-202402,Flooding,Standard,"Ambiguous complaint mentioning multiple flags: flood, drain.",NEEDS_REVIEW
GH-202406,Drain Blockage,Standard,Classified based on presence of the word 'drain' in description.,
GH-202407,Drain Blockage,Standard,Classified based on presence of the word 'drain' in description.,
GH-202410,Pothole,Standard,Classified based on presence of the word 'pothole' in description.,
GH-202411,Pothole,Urgent,Classified based on presence of the word 'pothole' in description.,
GH-202412,Pothole,Urgent,Classified based on presence of the word 'pothole' in description.,
GH-202417,Waste,Standard,"Ambiguous complaint mentioning multiple flags: garbage, waste, heritage.",NEEDS_REVIEW
GH-202420,Other,Standard,No distinct category identified from the description.,NEEDS_REVIEW
GH-202422,Other,Urgent,No distinct category identified from the description.,NEEDS_REVIEW
GH-202424,Flooding,Standard,Classified based on presence of the word 'flood' in description.,
GH-202428,Waste,Standard,Classified based on presence of the word 'waste' in description.,
GH-202432,Other,Standard,No distinct category identified from the description.,NEEDS_REVIEW
GH-202448,Flooding,Standard,"Ambiguous complaint mentioning multiple flags: flood, flooding, drain.",NEEDS_REVIEW
GH-202438,Other,Standard,No distinct category identified from the description.,NEEDS_REVIEW
